iter	Logloss
0	0.6906196903
1	0.6880546068
2	0.6856184931
3	0.6834790448
4	0.6810982235
5	0.6783261294
6	0.675662558
7	0.6730778371
8	0.6707989448
9	0.6685903326
10	0.6665707618
11	0.6640041463
12	0.6619430205
13	0.660181401
14	0.6577197188
15	0.6558816982
16	0.6540906089
17	0.6523380098
18	0.6502297948
19	0.6477182702
20	0.6459737941
21	0.6442870064
22	0.6423305604
23	0.6406952088
24	0.6389973867
25	0.636977873
26	0.6353598477
27	0.6340642528
28	0.6323918468
29	0.6305589319
30	0.6292938399
31	0.6277299079
32	0.6262002313
33	0.6245659183
34	0.6229004704
35	0.6210991596
36	0.6200214464
37	0.6180178824
38	0.6162262885
39	0.6145392845
40	0.6134831416
41	0.6115837793
42	0.6095482908
43	0.6081206969
44	0.6067622306
45	0.6053634541
46	0.6037765778
47	0.6020477057
48	0.6008187938
49	0.5990873354
50	0.5976746872
51	0.5966174813
52	0.5952485237
53	0.5941720566
54	0.5929397712
55	0.591731948
56	0.5905199269
57	0.5893764359
58	0.5882861363
59	0.5872656345
60	0.5863146584
61	0.5852068315
62	0.5840611479
63	0.5826572063
64	0.5817761967
65	0.5806175728
66	0.5793776079
67	0.5784294628
68	0.5771023052
69	0.576225077
70	0.5749753212
71	0.5741082648
72	0.5728817163
73	0.5716682559
74	0.5706218234
75	0.5695163024
76	0.568228131
77	0.5671627609
78	0.5661026094
79	0.5651731597
80	0.5641930253
81	0.5631076355
82	0.5618730189
83	0.5609841827
84	0.5601029582
85	0.5589780421
86	0.5582760696
87	0.5573299573
88	0.5564128204
89	0.5555336628
90	0.5544623668
91	0.55374518
92	0.5529575701
93	0.552141562
94	0.5511991288
95	0.550436241
96	0.5497451953
97	0.5489710577
98	0.5480016063
99	0.5472611973
100	0.5462679234
101	0.5452418114
102	0.5443387068
103	0.5433578136
104	0.542356713
105	0.5413088634
106	0.5402955127
107	0.5396522514
108	0.5387919515
109	0.5378262676
110	0.5368437653
111	0.5363124583
112	0.5353007281
113	0.5345974238
114	0.533837557
115	0.5331148258
116	0.5326150404
117	0.5317534237
118	0.5310082602
119	0.5300225239
120	0.5291690771
121	0.5286425605
122	0.5280552324
123	0.5271996565
124	0.5263420789
125	0.525701025
126	0.5250743989
127	0.5242475217
128	0.5235169371
129	0.5228570462
130	0.5218201812
131	0.5211866622
132	0.5203246212
133	0.5195320553
134	0.5188064949
135	0.517975544
136	0.5173229836
137	0.5167523928
138	0.5159474022
139	0.5152178513
140	0.5143925465
141	0.513541712
142	0.5127416995
143	0.5124210335
144	0.5119383267
145	0.5113316141
146	0.5107527727
147	0.5100403637
148	0.5093117649
149	0.508597017
150	0.5078554023
151	0.507102719
152	0.5066322224
153	0.5061125767
154	0.5054040226
155	0.5046312514
156	0.5040275858
157	0.5035654268
158	0.5028351934
159	0.5021473906
160	0.5017124045
161	0.501209046
162	0.5006979135
163	0.4999839316
164	0.4992208357
165	0.49877203
166	0.4979561293
167	0.4973050952
168	0.4967207827
169	0.4962221111
170	0.4958400223
171	0.4952706599
172	0.4946588519
173	0.4939706173
174	0.4935264171
175	0.4929008319
176	0.4923674531
177	0.4917865723
178	0.4910759569
179	0.490482207
180	0.4899735785
181	0.4891871539
182	0.4887190366
183	0.4882391215
184	0.487651144
185	0.4870952604
186	0.4865119814
187	0.486052399
188	0.4853886003
189	0.4848914803
190	0.4842720077
191	0.4836977395
192	0.483217133
193	0.4826134573
194	0.4820465019
195	0.4814431464
196	0.4807244928
197	0.480000869
198	0.4795878101
199	0.4791122978
200	0.4786847802
201	0.4781373501
202	0.4775700581
203	0.4769995655
204	0.4765818069
205	0.4762241276
206	0.4757559251
207	0.4753513492
208	0.4746053482
209	0.47414946
